year,PRCP,RD,Tmean,Tmin,Tmax,Tvar,FD,HD,GDD,Heat_Stress,Cold_Stress,Maize_sown_area,Maize_production,Maize_avg_yield,Yield_computed
1953,986.2,136.6,10.619890410958904,5.729315068493151,15.84931506849315,10.119999999999996,107.0,31.6,3042.0,0.0,200.8,1160539,2601600,2240,2.2417169952927045
1954,1252.8,180.0,9.57813698630137,5.094191780821918,14.389479452054797,9.295287671232876,125.0,34.6,2832.84,2.25,175.4,1210419,2550130,2110,2.1068159042447285
1955,1505.28,186.2,9.957424657534249,5.6825753424657535,14.592712328767124,8.91013698630137,85.0,8.0,2626.88,0.0,177.0,1290866,2911710,2260,2.2556252934076815
1956,1073.64,158.8,9.065573770491802,4.485136612021858,14.056010928961747,9.570874316939893,147.0,25.6,2810.04,4.0,232.0,1162291,2033542,1750,1.7495979922411857
1957,996.08,153.0,10.520931506849315,6.05013698630137,15.441041095890409,9.39090410958904,97.0,41.8,2860.62,8.0,171.8,1346185,3233105,2400,2.4016795611301567
1958,1014.5,164.2,10.631616438356165,6.283671232876712,15.551232876712328,9.267561643835617,95.8,44.8,3089.38,5.0,173.0,1304153,2832556,2170,2.171950683700455
1959,1072.02,153.0,10.561260273972604,6.102630136986301,15.475890410958906,9.373260273972605,79.6,17.8,2708.2200000000003,2.5,152.2,1358287,3557600,2620,2.6191813659410714
1960,1203.6799999999998,184.8,10.507267759562842,6.270601092896174,15.282185792349727,9.011584699453554,71.4,17.2,2670.38,2.0,119.4,1401111,3504260,2500,2.501058088902307
1961,843.68,122.6,11.067616438356165,6.312767123287671,16.35660273972603,10.043835616438358,83.0,38.2,3041.12,6.25,140.2,1339688,2714809,2030,2.026448695517165
1962,951.3,158.8,9.669643835616435,5.31495890410959,14.526520547945204,9.211561643835616,137.2,46.6,2768.86,1.0,216.4,1288483,3240481,2510,2.514958288157469
1963,1223.88,171.2,9.652438356164383,5.080821917808219,14.680876712328768,9.600054794520547,173.8,54.2,3268.68,2.0,208.2,1288847,3551035,2760,2.755202906163416
1964,1217.22,170.0,9.588743169398906,5.240382513661202,14.287103825136612,9.046721311475409,148.2,37.8,2853.3,0.0,197.2,1208720,3509000,2900,2.9030710172744723
1965,1518.5,212.8,9.445041095890412,5.270301369863014,14.268657534246575,8.998356164383562,123.0,19.8,2444.94,0.0,201.0,1217980,3563991,2930,2.926149033645873
1966,1323.48,190.6,10.747287671232876,6.571397260273973,15.664219178082192,9.09282191780822,83.6,16.5,2966.4,0.0,140.4,1237049,3906694,3160,3.1580753874745464
