year,PRCP,RD,Tmean,Tmin,Tmax,Tvar,FD,HD,GDD,Heat_Stress,Cold_Stress
1974,1426.34,300.8,10.74745205479452,6.583890410958904,15.587506849315067,9.003616438356165,28.6,35.6,2578.1400000000003,2.0,111.2
1975,1186.6,242.6,10.863068493150685,6.584876712328767,15.896657534246575,9.311780821917807,72.0,13.25,2982.2200000000003,0.0,170.8
1976,1117.0,264.4,9.973387978142076,5.634426229508197,14.838797814207648,9.204371584699452,118.4,20.8,2699.84,0.0,195.0
1977,1115.78,262.6,10.585041095890412,6.104219178082191,15.57841095890411,9.474191780821918,88.4,15.6,2715.96,0.0,158.8
1978,1154.6200000000001,282.0,9.528767123287672,5.349095890410959,14.22964383561644,8.88054794520548,93.2,7.4,2303.68,0.0,177.4
1979,1159.8200000000002,292.4,10.624657534246575,6.223397260273972,15.586958904109588,9.363561643835617,68.8,31.8,2817.56,2.0,142.0
1980,1346.48,303.6,9.196775956284153,5.061038251366121,13.91846994535519,8.857431693989069,104.8,12.6,2328.82,0.0,184.6
1981,1182.58,259.4,10.503287671232878,6.09227397260274,15.503013698630138,9.410739726027398,108.2,33.8,2948.34,2.0,177.0
1982,1043.94,238.8,10.547780821917808,6.264876712328767,15.440328767123287,9.175452054794519,94.6,29.6,3075.42,0.0,164.6
1983,912.32,226.6,11.065205479452056,6.3035068493150685,16.471068493150685,10.167561643835617,94.0,53.4,3189.88,2.75,168.2
1984,1194.78,286.0,10.02863387978142,5.806830601092896,14.838743169398906,9.03191256830601,94.8,21.0,2585.6400000000003,2.0,181.2
1985,1159.98,281.8,9.516986301369863,5.121369863013699,14.503342465753425,9.381972602739726,112.4,39.2,2773.88,2.0,171.0
1986,898.1600000000001,223.8,10.261753424657535,5.607397260273973,15.398630136986302,9.791232876712328,122.4,48.2,3100.94,0.0,204.2
1987,1156.04,267.6,9.90241095890411,5.507945205479452,14.769315068493151,9.261369863013698,130.6,40.4,2899.1600000000003,5.333333333333333,173.8
1988,1057.9,262.0,10.521420765027322,6.131092896174863,15.579836065573772,9.44874316939891,71.0,52.6,2911.8599999999997,8.5,178.4
1989,1154.5,230.0,11.04,6.835342465753425,16.031945205479452,9.196602739726028,100.2,26.0,2917.22,0.0,157.2
1990,918.04,233.2,11.117917808219179,6.291342465753425,16.71758904109589,10.426246575342466,59.4,45.8,2795.98,0.0,136.0
1991,1227.8600000000001,232.6,9.914027397260273,5.7933150684931505,14.902739726027397,9.109424657534246,114.0,36.8,2771.9199999999996,4.0,181.6
1992,954.9,232.4,11.353879781420765,6.648743169398907,16.713224043715847,10.06448087431694,74.0,74.0,3323.96,20.0,157.4
1993,1043.3799999999999,257.8,10.402520547945205,5.861972602739726,15.600164383561644,9.738191780821918,124.8,51.4,3145.68,4.5,206.4
1994,973.1,254.4,11.779068493150685,7.157095890410959,17.054191780821917,9.897095890410958,58.6,81.2,3338.3599999999997,9.0,127.6
1995,1224.1200000000001,271.8,10.642027397260275,5.982246575342466,15.901315068493151,9.919068493150686,88.0,55.0,2979.54,4.0,177.8
1996,1205.1200000000001,276.2,8.277298575242657,4.602058287795993,14.461420765027322,9.859362477231329,134.8,28.4,2412.5499999999997,2.0,197.4
1997,912.5799999999999,233.2,8.61417394249586,4.760207737468011,15.475506849315071,10.71529911184706,81.16666666666667,16.0,2418.133333333333,0.0,164.5
1998,1305.48,250.6,10.766630136986302,6.304493150684932,15.89660273972603,9.592109589041097,93.4,53.0,3015.6,8.0,178.8
1999,1496.5800000000002,266.8,10.876438356164382,6.728931506849316,15.575616438356164,8.846684931506848,97.4,25.0,3152.52,2.0,179.6
2000,796.4399999999999,212.2,12.03415300546448,7.08743169398907,17.51153005464481,10.424098360655737,69.8,69.4,3543.1,12.2,149.4
2001,1186.58,253.2,10.887835616438355,6.4251506849315065,15.980383561643837,9.555232876712331,102.0,43.6,3116.02,2.75,171.2
2002,665.9250000000001,163.625,11.520646545235586,7.573765335691705,16.01555415474936,8.441788819057654,54.0,34.0,2123.525,4.0,96.28571428571429
2003,635.4714285714286,145.57142857142858,11.291272015655577,6.650958904109589,16.394520547945206,9.743561643835616,89.42857142857143,66.57142857142857,2640.342857142857,4.0,145.28571428571428
2004,840.4,175.625,10.10185199363478,6.185013152148398,14.515964938067398,8.330951785919,60.625,20.142857142857142,1851.2625,3.0,101.375
2005,935.9714285714286,180.85714285714286,10.477299412915851,6.378708414872798,15.03068493150685,8.65197651663405,81.14285714285714,16.714285714285715,2133.842857142857,1.0,149.71428571428572
2006,782.8714285714286,178.28571428571428,11.36238747553816,7.198786692759296,16.027045009784736,8.82825831702544,79.14285714285714,41.857142857142854,2362.8142857142857,1.5,117.85714285714286
2007,790.3714285714286,178.57142857142858,12.511663405088061,7.980978473581213,17.46109589041096,9.480117416829746,34.285714285714285,53.285714285714285,2504.4,11.714285714285714,75.0
2008,807.8142857142858,177.57142857142858,12.297658079625293,7.904527712724435,17.24496487119438,9.340437158469946,28.428571428571427,38.42857142857143,2380.1857142857143,4.75,82.71428571428571
2009,732.9142857142857,193.28571428571428,12.154833659491192,7.783170254403132,16.991115459882582,9.20794520547945,54.285714285714285,43.142857142857146,2626.7714285714283,2.5,87.42857142857143
2010,1176.8857142857144,219.42857142857142,10.993463796477496,7.090998043052838,15.435303326810175,8.344305283757336,80.71428571428571,35.57142857142857,2183.514285714286,2.0,119.71428571428571
2011,544.0142857142857,143.0,11.676164383561643,7.1881409001956955,16.68637964774951,9.498238747553817,74.0,46.42857142857143,2513.7428571428572,5.0,130.14285714285714
2012,658.9285714285714,159.57142857142858,10.245014690470843,6.051417864361104,17.42872755659641,11.377309692235306,54.875,71.71428571428571,2433.3125,15.857142857142858,98.875
2013,831.9142857142857,193.57142857142858,11.904070450097848,7.726262230919765,16.548884540117417,8.822622309197651,54.57142857142857,44.42857142857143,2470.0,9.428571428571429,114.28571428571429
2014,994.4142857142857,198.14285714285714,12.705753424657534,8.630019569471624,17.384187866927594,8.75416829745597,25.571428571428573,25.714285714285715,2413.085714285714,1.0,53.42857142857143
2015,730.5,171.0,12.546301369863013,8.1906457925636,17.37706457925636,9.186418786692759,22.428571428571427,66.14285714285714,2587.1857142857143,15.714285714285714,83.42857142857143
2016,868.3000000000001,161.75,10.863493962498273,6.764650262658885,15.52306085067531,8.758410588016424,46.5,31.857142857142858,2095.25,2.0,81.625
2017,694.8625000000001,142.5,11.957260273972603,7.378390410958904,17.01054794520548,9.632157534246577,51.875,49.375,2220.65,7.5,89.625
2018,668.0625,163.375,11.401963553949855,7.430673641427067,17.85287671232877,10.422203070901702,36.111111111111114,47.0,2321.5666666666666,2.0,73.0
2019,625.6888888888889,138.55555555555554,12.0894660366162,7.6465470401830755,17.139992553066946,9.49344551288387,28.0,52.375,2069.9555555555553,3.3333333333333335,61.888888888888886
2020,618.8222222222222,142.22222222222223,12.25943344122989,7.835249384293101,17.261195368333347,9.425945984040247,25.333333333333332,34.0,1906.6999999999998,1.0,64.77777777777777
2021,512.2555555555556,137.55555555555554,11.946080018998163,7.2806096399713915,17.04227667072999,9.761667030758598,25.444444444444443,45.44444444444444,1852.6555555555553,8.0,82.88888888888889
2022,512.6222222222223,125.33333333333333,12.425073962770673,7.679936740169359,17.539171150371534,9.859234410202173,23.444444444444443,59.375,2105.4444444444443,10.875,76.55555555555556
2023,870.1625,168.875,13.105205479452055,8.660342465753425,18.081917808219178,9.421575342465752,16.375,46.25,2405.3375,6.0,62.5
2024,547.2,133.375,13.73742720241417,9.019160089306599,18.96391040056284,9.94475031125624,20.25,76.25,2646.375,18.25,63.5
2025,485.35,129.25,12.662687678349421,7.981151309987649,17.809884651992775,9.828733342005126,31.625,60.875,2305.3,9.0,79.125
