year,PRCP,RD,Tmean,FD,HD
1997,912.5799999999999,233.2,8.61417394249586,81.16666666666667,0.0
1998,1305.48,250.6,10.766630136986302,93.4,4.0
1999,1496.5800000000002,266.8,10.876438356164382,97.4,0.0
2000,796.4399999999999,212.2,12.03415300546448,69.8,0.0
2001,1186.58,253.2,10.887835616438355,102.0,0.0
2002,665.9250000000001,163.625,11.520646545235586,54.0,0.0
2003,635.4714285714286,145.57142857142858,11.291272015655577,89.42857142857143,0.0
2004,840.4,175.625,10.10185199363478,60.625,0.0
2005,935.9714285714286,180.85714285714286,10.477299412915851,81.14285714285714,0.0
2006,782.8714285714286,178.28571428571428,11.36238747553816,79.14285714285714,0.0
2007,790.3714285714286,178.57142857142858,12.511663405088061,34.285714285714285,4.5
2008,807.8142857142858,177.57142857142858,12.297658079625293,28.428571428571427,1.0
2009,732.9142857142857,193.28571428571428,12.154833659491192,54.285714285714285,0.0
2010,1176.8857142857144,219.42857142857142,10.993463796477496,80.71428571428571,0.0
2011,544.0142857142857,143.0,11.676164383561643,74.0,1.0
2012,658.9285714285714,159.57142857142858,10.245014690470843,54.875,5.25
2013,831.9142857142857,193.57142857142858,11.904070450097848,54.57142857142857,4.0
2014,994.4142857142857,198.14285714285714,12.705753424657534,25.571428571428573,0.0
2015,730.5,171.0,12.546301369863013,22.428571428571427,3.0
2016,868.3000000000001,161.75,10.863493962498273,46.5,0.0
2017,694.8625000000001,142.5,11.957260273972603,51.875,3.75
2018,668.0625,163.375,11.401963553949855,36.111111111111114,0.0
2019,625.6888888888889,138.55555555555554,12.0894660366162,28.0,0.0
2020,618.8222222222222,142.22222222222223,12.25943344122989,25.333333333333332,0.0
2021,512.2555555555556,137.55555555555554,11.946080018998163,25.444444444444443,2.2
2022,512.6222222222223,125.33333333333333,12.425073962770673,23.444444444444443,3.2
2023,870.1625,168.875,13.105205479452055,16.375,1.0
2024,547.2,133.375,13.73742720241417,20.25,6.833333333333333
2025,485.35,129.25,12.662687678349421,31.625,1.6666666666666667
