EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 23-03-2026
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TN   : daily Minimum temperature in 0.1 &#176;C
23-27 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HUNGARY, SZEGED KULTERULET (STAID: 851).
Blended and updated with sources: 259492 152448 912982 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TN, Q_TN
259492,20200626,  168,    0
259492,20200627,  186,    0
259492,20200628,  183,    0
259492,20200629,  196,    0
259492,20200630,  149,    0
259492,20200701,  149,    0
259492,20200702,  208,    0
259492,20200703,  190,    0
259492,20200704,  174,    0
259492,20200705,  160,    0
259492,20200706,  151,    0
259492,20200707,  144,    0
259492,20200708,   90,    0
259492,20200709,  123,    0
259492,20200710,  146,    0
259492,20200711,  199,    0
259492,20200712,  144,    0
259492,20200713,   96,    0
259492,20200714,  114,    0
259492,20200715,  101,    0
259492,20200716,  109,    0
259492,20200717,  148,    0
259492,20200718,  146,    0
259492,20200719,  148,    0
259492,20200720,  152,    0
259492,20200721,  159,    0
259492,20200722,  177,    0
259492,20200723,  169,    0
259492,20200724,  146,    0
259492,20200725,  173,    0
259492,20200726,  186,    0
259492,20200727,  165,    0
259492,20200728,  155,    0
259492,20200729,  175,    0
259492,20200730,  192,    0
259492,20200731,  201,    0
259492,20200801,  193,    0
259492,20200802,  142,    0
259492,20200803,  131,    0
259492,20200804,  189,    0
259492,20200805,  181,    0
259492,20200806,  181,    0
259492,20200807,  173,    0
259492,20200808,  196,    0
259492,20200809,  182,    0
259492,20200810,  181,    0
259492,20200811,  180,    0
259492,20200812,  183,    0
259492,20200813,  150,    0
259492,20200814,  187,    0
259492,20200815,  173,    0
259492,20200816,  154,    0
259492,20200817,  171,    0
259492,20200818,  179,    0
259492,20200819,  180,    0
259492,20200820,  159,    0
259492,20200821,  145,    0
259492,20200822,  152,    0
259492,20200823,  165,    0
259492,20200824,  187,    0
259492,20200825,  168,    0
259492,20200826,  111,    0
259492,20200827,  134,    0
259492,20200828,  114,    0
259492,20200829,  179,    0
259492,20200830,  170,    0
259492,20200831,  187,    0
259492,20200901,  162,    0
259492,20200902,  106,    0
259492,20200903,  107,    0
259492,20200904,  104,    0
259492,20200905,  107,    0
259492,20200906,  116,    0
259492,20200907,  132,    0
259492,20200908,  128,    0
259492,20200909,   88,    0
259492,20200910,   94,    0
259492,20200911,  151,    0
259492,20200912,  141,    0
259492,20200913,  140,    0
259492,20200914,  133,    0
259492,20200915,  160,    0
259492,20200916,  141,    0
259492,20200917,  146,    0
259492,20200918,  145,    0
259492,20200919,   47,    0
259492,20200920,   55,    0
259492,20200921,   91,    0
259492,20200922,   84,    0
259492,20200923,  155,    0
259492,20200924,  132,    0
259492,20200925,  146,    0
259492,20200926,  114,    0
259492,20200927,   79,    0
259492,20200928,  126,    0
259492,20200929,   88,    0
259492,20200930,   90,    0
259492,20201001,  127,    0
259492,20201002,  102,    0
259492,20201003,  152,    0
259492,20201004,  159,    0
259492,20201005,  100,    0
259492,20201006,  131,    0
259492,20201007,  114,    0
259492,20201008,  115,    0
259492,20201009,   65,    0
259492,20201010,   76,    0
259492,20201011,   93,    0
259492,20201012,   82,    0
259492,20201013,   69,    0
259492,20201014,   61,    0
259492,20201015,   59,    0
259492,20201016,   75,    0
259492,20201017,   31,    0
259492,20201018,   52,    0
259492,20201019,    8,    0
259492,20201020,    8,    0
259492,20201021,   43,    0
259492,20201022,   45,    0
259492,20201023,   54,    0
259492,20201024,  105,    0
259492,20201025,  120,    0
259492,20201026,  106,    0
259492,20201027,   90,    0
259492,20201028,   53,    0
259492,20201029,   69,    0
259492,20201030,   64,    0
259492,20201031,   69,    0
259492,20201101,    7,    0
259492,20201102,   82,    0
259492,20201103,   93,    0
259492,20201104,  110,    0
259492,20201105,   98,    0
259492,20201106,   25,    0
259492,20201107,    7,    0
259492,20201108,   11,    0
259492,20201109,   14,    0
259492,20201110,   35,    0
259492,20201111,   68,    0
259492,20201112,   65,    0
259492,20201113,   55,    0
259492,20201114,   71,    0
259492,20201115,   72,    0
259492,20201116,   37,    0
259492,20201117,   40,    0
259492,20201118,    0,    0
259492,20201119,   14,    0
259492,20201120,   10,    0
259492,20201121,   10,    0
259492,20201122,  -33,    0
259492,20201123,    5,    0
259492,20201124,  -16,    0
259492,20201125,   19,    0
259492,20201126,   22,    0
259492,20201127,   11,    0
259492,20201128,    8,    0
259492,20201129,   -2,    0
259492,20201130,   -8,    0
259492,20201201,  -36,    0
259492,20201202,  -42,    0
259492,20201203,   -9,    0
259492,20201204,   28,    0
259492,20201205,   62,    0
259492,20201206,   78,    0
259492,20201207,   44,    0
259492,20201208,   25,    0
259492,20201209,   -4,    0
259492,20201210,   26,    0
259492,20201211,   17,    0
259492,20201212,   30,    0
259492,20201213,   26,    0
259492,20201214,   23,    0
259492,20201215,   20,    0
259492,20201216,   37,    0
259492,20201217,   24,    0
259492,20201218,   29,    0
259492,20201219,   30,    0
259492,20201220,   30,    0
259492,20201221,    2,    0
259492,20201222,   14,    0
259492,20201223,   38,    0
259492,20201224,   56,    0
259492,20201225,   43,    0
259492,20201226,    2,    0
259492,20201227,  -20,    0
259492,20201228,    0,    0
259492,20201229,   58,    0
259492,20201230,   54,    0
259492,20201231,   50,    0
259492,20210101,   -8,    0
259492,20210102,   19,    0
259492,20210103,   40,    0
259492,20210104,   14,    0
259492,20210105,   33,    0
259492,20210106,   18,    0
259492,20210107,  -11,    0
259492,20210108,   -7,    0
259492,20210109,  -39,    0
259492,20210110,  -28,    0
259492,20210111,  -18,    0
259492,20210112,  -13,    0
259492,20210113,  -21,    0
259492,20210114,  -13,    0
259492,20210115,  -54,    0
259492,20210116,  -71,    0
259492,20210117,  -49,    0
259492,20210118, -113,    0
259492,20210119,  -29,    0
259492,20210120,   -2,    0
259492,20210121,    3,    0
259492,20210122,   30,    0
259492,20210123,   72,    0
259492,20210124,   25,    0
259492,20210125,   -1,    0
259492,20210126,   -2,    0
259492,20210127,  -25,    0
259492,20210128,  -50,    0
259492,20210129,    3,    0
259492,20210130,    0,    0
259492,20210131,   -9,    0
259492,20210201,  -18,    0
259492,20210202,  -14,    0
259492,20210203,   15,    0
259492,20210204,   59,    0
259492,20210205,   16,    0
259492,20210206,   10,    0
259492,20210207,   37,    0
259492,20210208,   49,    0
259492,20210209,   -4,    0
259492,20210210,   30,    0
259492,20210211,  -42,    0
259492,20210212,  -88,    0
259492,20210213, -106,    0
259492,20210214,  -84,    0
259492,20210215,  -78,    0
259492,20210216,  -72,    0
259492,20210217,  -10,    0
259492,20210218,   19,    0
259492,20210219,  -13,    0
259492,20210220,   26,    0
259492,20210221,  -11,    0
259492,20210222,  -13,    0
259492,20210223,   -9,    0
259492,20210224,    0,    0
259492,20210225,   12,    0
259492,20210226,    2,    0
259492,20210227,   36,    0
259492,20210228,  -15,    0
259492,20210301,  -22,    0
259492,20210302,  -28,    0
259492,20210303,  -14,    0
259492,20210304,   -6,    0
259492,20210305,   15,    0
259492,20210306,    6,    0
259492,20210307,  -48,    0
259492,20210308,  -51,    0
259492,20210309,  -48,    0
259492,20210310,  -35,    0
259492,20210311,  -65,    0
259492,20210312,   41,    0
259492,20210313,   48,    0
259492,20210314,   43,    0
259492,20210315,   45,    0
259492,20210316,   17,    0
259492,20210317,   13,    0
259492,20210318,   19,    0
259492,20210319,   -5,    0
259492,20210320,  -25,    0
259492,20210321,  -43,    0
259492,20210322,  -16,    0
259492,20210323,  -30,    0
259492,20210324,   33,    0
259492,20210325,  -39,    0
259492,20210326,  -28,    0
259492,20210327,  -10,    0
259492,20210328,   66,    0
259492,20210329,   -3,    0
259492,20210330,   64,    0
259492,20210331,   79,    0
259492,20210401,   59,    0
259492,20210402,   91,    0
259492,20210403,   36,    0
259492,20210404,   33,    0
