year,Tmean,PRCP,RD,FD,HD,Heat_Stress,Sunshine,Rain_Intensity,Dry_Index,Temp_Index
1995,10.3,681,152,99,25,1,1921,4.48026315789474,2.81671554252199,257.5
1996,9.3,675,158,112,13,2,1842,4.27215189873418,2.72485207100592,120.9
1997,9.8,529,136,115,7,0,2111,3.88970588235294,3.98301886792453,68.6
1998,10.3,725,142,102,25,7,2029,5.1056338028169,2.79476584022039,257.5
1999,10.5,800,146,103,11,1,1972,5.47945205479452,2.46192259675406,115.5
2000,11.5,423,121,83,34,11,2269,3.49586776859504,5.35141509433962,391
2001,10.3,614,141,96,22,2,1969,4.35460992907801,3.20162601626016,226.6
2002,11.2,546,147,79,26,8,1932,3.71428571428571,3.53199268738574,291.2
2003,10.3,464,114,118,50,6,2312,4.07017543859649,4.97204301075269,515
2004,10,689,150,94,14,3,1948,4.59333333333333,2.8231884057971,140
2005,9.7,732,145,117,13,4,2062,5.04827586206897,2.8130968622101,126.1
2006,10.4,582,140,95,30,7,2045,4.15714285714286,3.50771869639794,312
2007,11.6,622,143,70,39,11,2203,4.34965034965035,3.53611556982343,452.4
2008,11.3,596,144,72,26,2,2129,4.13888888888889,3.56616415410385,293.8
2009,11.2,616,156,73,28,4,2111,3.94871794871795,3.42139384116694,313.6
2010,10.1,981,172,96,24,10,1890,5.70348837209302,1.92464358452139,242.4
2011,10.7,420,117,106,31,7,4766,3.58974358974359,11.3206650831354,331.7
2012,11.2,487,130,92,50,21,4891,3.74615384615385,10.0225409836066,560
2013,11,661,154,90,33,15,4548,4.29220779220779,6.87009063444109,363
2014,11.9,756,162,47,19,1,4402,4.66666666666667,5.81505944517834,226.1
2015,11.6,547,131,77,47,25,4580,4.17557251908397,8.35766423357664,545.2
2016,11,700,144,78,23,3,4593,4.86111111111111,6.55206847360913,253
2017,11.1,616,127,83,40,11,4867,4.8503937007874,7.88816855753647,444
2018,12,605,152,80,37,7,4762,3.98026315789474,7.85808580858086,444
2019,12.1,629,141,72,41,8,4780,4.46099290780142,7.58730158730159,496.1
2020,11.5,613,140,72,29,2,4775,4.37857142857143,7.77687296416938,333.5
2021,10.9,514,134,96,41,17,4904,3.83582089552239,9.52233009708738,446.9
2022,11.9,497,126,88,46,16,4956,3.94444444444444,9.95180722891566,547.4
2023,12.3,767,151,65,36,12,4711,5.0794701986755,6.13411458333333,442.8
2024,12.9,526,121,65,60,28,4887,4.34710743801653,9.27324478178368,774
